Date-Time,UV_Index,Lat,Lon
2023-01-01 00:00:00,0.0,-33.8688,151.2093
2023-01-01 01:00:00,0.0,-33.8688,151.2093
2023-01-01 02:00:00,0.0,-33.8688,151.2093
2023-01-01 03:00:00,0.0,-33.8688,151.2093
2023-01-01 04:00:00,0.0,-33.8688,151.2093
2023-01-01 05:00:00,0.0,-33.8688,151.2093
2023-01-01 06:00:00,0,-33.8688,151.2093
2023-01-01 07:00:00,4.26,-33.8688,151.2093
2023-01-01 08:00:00,4.75,-33.8688,151.2093
2023-01-01 09:00:00,8.35,-33.8688,151.2093
2023-01-01 10:00:00,9.88,-33.8688,151.2093
2023-01-01 11:00:00,11.91,-33.8688,151.2093
2023-01-01 12:00:00,10.38,-33.8688,151.2093
2023-01-01 13:00:00,10.28,-33.8688,151.2093
2023-01-01 14:00:00,11.14,-33.8688,151.2093
2023-01-01 15:00:00,9.37,-33.8688,151.2093
2023-01-01 16:00:00,6.96,-33.8688,151.2093
2023-01-01 17:00:00,4.18,-33.8688,151.2093
2023-01-01 18:00:00,0.56,-33.8688,151.2093
2023-01-01 19:00:00,0.0,-33.8688,151.2093
2023-01-01 20:00:00,0.0,-33.8688,151.2093
2023-01-01 21:00:00,0.0,-33.8688,151.2093
2023-01-01 22:00:00,0.0,-33.8688,151.2093
2023-01-01 23:00:00,0.0,-33.8688,151.2093
2023-01-02 00:00:00,0.0,-33.8688,151.2093
2023-01-02 01:00:00,0.0,-33.8688,151.2093
2023-01-02 02:00:00,0.0,-33.8688,151.2093
2023-01-02 03:00:00,0.0,-33.8688,151.2093
2023-01-02 04:00:00,0.0,-33.8688,151.2093
2023-01-02 05:00:00,0.0,-33.8688,151.2093
2023-01-02 06:00:00,0.96,-33.8688,151.2093
2023-01-02 07:00:00,4.09,-33.8688,151.2093
2023-01-02 08:00:00,7.85,-33.8688,151.2093
2023-01-02 09:00:00,7.36,-33.8688,151.2093
2023-01-02 10:00:00,10.63,-33.8688,151.2093
2023-01-02 11:00:00,11.28,-33.8688,151.2093
2023-01-02 12:00:00,11.64,-33.8688,151.2093
2023-01-02 13:00:00,12.16,-33.8688,151.2093
2023-01-02 14:00:00,10.47,-33.8688,151.2093
2023-01-02 15:00:00,8.78,-33.8688,151.2093
2023-01-02 16:00:00,5.96,-33.8688,151.2093
2023-01-02 17:00:00,2.3,-33.8688,151.2093
2023-01-02 18:00:00,0,-33.8688,151.2093
2023-01-02 19:00:00,0.0,-33.8688,151.2093
2023-01-02 20:00:00,0.0,-33.8688,151.2093
2023-01-02 21:00:00,0.0,-33.8688,151.2093
2023-01-02 22:00:00,0.0,-33.8688,151.2093
2023-01-02 23:00:00,0.0,-33.8688,151.2093
2023-01-03 00:00:00,0.0,-33.8688,151.2093
2023-01-03 01:00:00,0.0,-33.8688,151.2093
2023-01-03 02:00:00,0.0,-33.8688,151.2093
2023-01-03 03:00:00,0.0,-33.8688,151.2093
2023-01-03 04:00:00,0.0,-33.8688,151.2093
2023-01-03 05:00:00,0.0,-33.8688,151.2093
2023-01-03 06:00:00,0,-33.8688,151.2093
2023-01-03 07:00:00,3.33,-33.8688,151.2093
2023-01-03 08:00:00,6.55,-33.8688,151.2093
2023-01-03 09:00:00,7.7,-33.8688,151.2093
2023-01-03 10:00:00,9.92,-33.8688,151.2093
2023-01-03 11:00:00,11.66,-33.8688,151.2093
2023-01-03 12:00:00,11.14,-33.8688,151.2093
2023-01-03 13:00:00,12.51,-33.8688,151.2093
